katedra,zkratka,nazev
KFY,CM103,Selected parts of theoretical mechanics
KFY,CM206,Colloid systems
KFY,CM300,Computer modelling of space plasma
KFY,CM302,Computer modelling of granular materials
KFY,CM304,Mesoscopic simulation methods
KFY,E511,Atomic and Nuclear Physics
KFY,E701,Introduction to Supramolecular chemistry
KFY,E963,Modelling of Processes in Technology II
KFY,FVTV,Fyzikální vlastnosti tenkých vrstev
KFY,KPPM3,Praktikum počítačového modelování III
KFY,KPPP,Průběžná pedagogická praxe
KFY,KTRDM,Termodynamika
KFY,K219,Fyzikální metody depozice
KFY,K310,Vývoj a stavba vesmíru
KFY,K317,Fyzikální praktikum B
KFY,K505,Diplomový seminář
KFY,K506,PVK - Elektronika I
KFY,K518,Počítačové simulace v nanotechnologiích
KFY,K520,Praxe
KFY,K726,Úvod do fyziky plazmatu
KFY,K922,Diplomový seminář
KFY,K923,Praktikum školních pokusů C - SŠ
KFY,K924,Astronomie a astrofyzika I
KFY,K961,Fyzika pevných látek II
KFY,METD,Výp. a odhad. met. pro fy-che vl. látek
KFY,N100,Difr. metody studia strukt. pevných lát.
KFY,PA25,Souvislá pedagogická praxe - SŠ
KFY,PD101,Fyzika energetických svazků iontů
KFY,PD26,Experim. metody analýzy v mater. výzkumu
KFY,PD300,Aplikace iontových technologií Bio(MEMS)
KFY,PD54,Plazmové technologie přípravy nanovrstev
KFY,PD59,Difrakce záření a struktura materiálů
KFY,PM103,Vybrané partie teoretické mechaniky
KFY,PM204,Hydrodynamika
KFY,PM301,Poč. mod. proudění tekutin
KFY,PM304,Mesoskopické simulační metody
KFY,PM308,Astronomie a astrofyzika II
KFY,P105,Úvod do operačních systémů
KFY,P107,Počítačové modelování I
KFY,P127,Matematický aparát fyziky I
KFY,P316,Vývoj a stavba vesmíru
KFY,P322,Programování
KFY,P367,Projektový seminář I
KFY,P503,Základy počítačové fyziky
KFY,P509,Kvantová fyzika I
KFY,P511,Atomová a jaderná fyzika
KFY,P521,Fyzikální praktikum C
KFY,P525,Odborná praxe
KFY,P526,Projektový seminář III
KFY,P751,Úvod do fyziky plazmatu
KFY,P754,Počítačová fyzika I
KFY,P938,Vybrané partie z teoretické fyziky I
